track_uri,track_name,artist_name,artist_pop,artist_genres,album,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature,like
spotify:track:47IWLfIKOKhFnz1FUEUIkE,A Boy Brushed Red Living In Black And White,Underoath,55,"['christian metal', 'christian metalcore', 'melodic metalcore', 'metalcore', 'pop punk', 'post-hardcore', 'screamo', 'tampa indie']",They're Only Chasing Safety,61,0.419,0.932,1,-3.604,0,0.106,0.00171,0,0.137,0.445,169.881,audio_features,47IWLfIKOKhFnz1FUEUIkE,spotify:track:47IWLfIKOKhFnz1FUEUIkE,https://api.spotify.com/v1/tracks/47IWLfIKOKhFnz1FUEUIkE,https://api.spotify.com/v1/audio-analysis/47IWLfIKOKhFnz1FUEUIkE,4,1
spotify:track:313yF0VXTCmFFoYEJF7nBQ,Writing On The Walls,Underoath,55,"['christian metal', 'christian metalcore', 'melodic metalcore', 'metalcore', 'pop punk', 'post-hardcore', 'screamo', 'tampa indie']",Define The Great Line,58,0.358,0.959,2,-3.139,0,0.0874,0.00364,0.000237,0.356,0.171,91.938,audio_features,313yF0VXTCmFFoYEJF7nBQ,spotify:track:313yF0VXTCmFFoYEJF7nBQ,https://api.spotify.com/v1/tracks/313yF0VXTCmFFoYEJF7nBQ,https://api.spotify.com/v1/audio-analysis/313yF0VXTCmFFoYEJF7nBQ,4,1
spotify:track:6MdAoknD4tWcqYm7J0SQGh,It's Dangerous Business Walking Out Your Front Door,Underoath,55,"['christian metal', 'christian metalcore', 'melodic metalcore', 'metalcore', 'pop punk', 'post-hardcore', 'screamo', 'tampa indie']",They're Only Chasing Safety,51,0.402,0.956,9,-3.672,0,0.309,0.00701,0.000277,0.144,0.125,134.85,audio_features,6MdAoknD4tWcqYm7J0SQGh,spotify:track:6MdAoknD4tWcqYm7J0SQGh,https://api.spotify.com/v1/tracks/6MdAoknD4tWcqYm7J0SQGh,https://api.spotify.com/v1/audio-analysis/6MdAoknD4tWcqYm7J0SQGh,4,1
spotify:track:7hZ1JuwJm4hZsS8IHnKDt3,Note to Self,From First To Last,44,"['metalcore', 'pop punk', 'post-hardcore', 'screamo']","Dear Diary, My Teen Angst Has A Body Count",50,0.21,0.937,4,-4.596,0,0.18,0.000415,0,0.143,0.311,172.323,audio_features,7hZ1JuwJm4hZsS8IHnKDt3,spotify:track:7hZ1JuwJm4hZsS8IHnKDt3,https://api.spotify.com/v1/tracks/7hZ1JuwJm4hZsS8IHnKDt3,https://api.spotify.com/v1/audio-analysis/7hZ1JuwJm4hZsS8IHnKDt3,3,1
spotify:track:25ZrGWzFc0Trv3024g9BSg,Lost In Mind,Ben Böhmer,63,['tropical house'],Breathing,51,0.689,0.705,10,-12.4,0,0.0452,0.186,0.712,0.0864,0.258,123.999,audio_features,25ZrGWzFc0Trv3024g9BSg,spotify:track:25ZrGWzFc0Trv3024g9BSg,https://api.spotify.com/v1/tracks/25ZrGWzFc0Trv3024g9BSg,https://api.spotify.com/v1/audio-analysis/25ZrGWzFc0Trv3024g9BSg,4,1
spotify:track:4uFqacokT9SUwO70KACgeC,Who I Once Was,Kingdom Of Giants,44,"['melodic metalcore', 'metalcore', 'post-post-hardcore', 'post-screamo', 'screamo']",Abominable,19,0.462,0.976,8,-5.732,1,0.154,0.000868,2.82e-05,0.128,0.0382,149.979,audio_features,4uFqacokT9SUwO70KACgeC,spotify:track:4uFqacokT9SUwO70KACgeC,https://api.spotify.com/v1/tracks/4uFqacokT9SUwO70KACgeC,https://api.spotify.com/v1/audio-analysis/4uFqacokT9SUwO70KACgeC,3,1
spotify:track:6HHT4yYQbuq2EIvngdIPqT,A Test Of My Survival,Kingdom Of Giants,44,"['melodic metalcore', 'metalcore', 'post-post-hardcore', 'post-screamo', 'screamo']",Abominable,21,0.282,0.979,0,-4.251,1,0.173,0.00025,0,0.369,0.225,142.792,audio_features,6HHT4yYQbuq2EIvngdIPqT,spotify:track:6HHT4yYQbuq2EIvngdIPqT,https://api.spotify.com/v1/tracks/6HHT4yYQbuq2EIvngdIPqT,https://api.spotify.com/v1/audio-analysis/6HHT4yYQbuq2EIvngdIPqT,4,1
spotify:track:5ae7DTFNi6aWWJSCNuxzcr,Watch Me,Kingdom Of Giants,44,"['melodic metalcore', 'metalcore', 'post-post-hardcore', 'post-screamo', 'screamo']",Abominable,21,0.184,0.957,7,-4.254,1,0.125,0.000143,0,0.34,0.19,179.968,audio_features,5ae7DTFNi6aWWJSCNuxzcr,spotify:track:5ae7DTFNi6aWWJSCNuxzcr,https://api.spotify.com/v1/tracks/5ae7DTFNi6aWWJSCNuxzcr,https://api.spotify.com/v1/audio-analysis/5ae7DTFNi6aWWJSCNuxzcr,4,1
spotify:track:0o6M3zre82Mcbu1D8CQp4p,Onslaught,Kingdom Of Giants,44,"['melodic metalcore', 'metalcore', 'post-post-hardcore', 'post-screamo', 'screamo']",Abominable,15,0.458,0.972,0,-4.109,1,0.14,0.000351,0,0.442,0.167,149.86,audio_features,0o6M3zre82Mcbu1D8CQp4p,spotify:track:0o6M3zre82Mcbu1D8CQp4p,https://api.spotify.com/v1/tracks/0o6M3zre82Mcbu1D8CQp4p,https://api.spotify.com/v1/audio-analysis/0o6M3zre82Mcbu1D8CQp4p,4,1
spotify:track:034wgaokUuID17Z3itXONw,The Overlord,Kingdom Of Giants,44,"['melodic metalcore', 'metalcore', 'post-post-hardcore', 'post-screamo', 'screamo']",Abominable,16,0.282,0.978,8,-3.952,1,0.252,0.00128,0,0.752,0.134,120.533,audio_features,034wgaokUuID17Z3itXONw,spotify:track:034wgaokUuID17Z3itXONw,https://api.spotify.com/v1/tracks/034wgaokUuID17Z3itXONw,https://api.spotify.com/v1/audio-analysis/034wgaokUuID17Z3itXONw,4,1
